idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
2507Y,-4.963505,2026-04-10T12:00:00+0000,0.0,724.0,5.8,2.9,116.0,41.419465,120.0,RUEDA,32.0,23.1,24.9,25.1,,,,,,,,,,,,,,,,,,,,,,,,
2512Y,-5.018689,2026-04-10T12:00:00+0000,0.0,925.0,15.4,7.2,178.0,40.88213,170.0,RIVILLA DE BARAJAS,27.0,22.4,23.9,23.9,,,,,,,,,,,,,,,,,,,,,,,,
2565,-5.630556,2026-04-10T12:00:00+0000,0.0,701.5,5.5,2.1,44.0,41.555278,72.0,CORESES,39.0,20.5,23.0,23.1,,,,,,,,,,,,,,,,,,,,,,,,
2593D,-5.040989,2026-04-10T12:00:00+0000,0.0,782.0,4.2,1.0,123.0,42.09421,122.0,VILLALÓN DE CAMPOS,39.0,22.5,24.4,24.4,,,,,,,,,,,,,,,,,,,,,,,,
2614,-5.735278,2026-04-10T12:00:00+0000,0.0,656.06,4.6,1.6,30.0,41.515556,65.0,ZAMORA,42.0,19.2,22.1,22.1,940.4,0.6,28.6,1013.9,8.5,20.0,42.0,60.0,21.6,,,,,,0.01,,,,,16.9,,,,
2630X,-5.377067,2026-04-10T12:00:00+0000,0.0,1510.0,9.4,4.7,249.0,43.062242,285.0,PUERTO DE SAN ISIDRO,29.0,19.1,19.9,20.9,851.2,2.7,10.1,,,20.0,54.0,60.0,5.5,,,,,,0.0,,,,,,,,,
2661,-5.651111,2026-04-10T12:00:00+0000,0.0,916.0,6.2,4.0,150.0,42.588333,140.0,LEÓN/VIRGEN DEL CAMINO,33.0,20.4,22.2,22.3,912.9,0.3,29.4,,5.1,,20.0,60.0,,,,,,,,,,,,,802.1,,,
2734D,-6.074338,2026-04-10T12:00:00+0000,0.0,919.0,5.3,2.9,169.0,42.476722,167.0,ASTORGA-DEPÓSITO AGUA,41.0,20.7,21.5,21.5,,,,,,,,,,,,,,,,,,,,,,,,
2755X,-5.666803,2026-04-10T12:00:00+0000,0.0,715.0,3.6,1.4,51.0,42.010907,70.0,BENAVENTE,42.0,19.3,21.3,21.8,934.3,0.7,27.0,1014.1,7.8,19.2,36.0,60.0,18.1,,,,,,0.0,,,,,,,,,
2766E,-6.639735,2026-04-10T12:00:00+0000,0.0,933.0,4.8,1.9,160.0,42.082615,160.0,EL PUENTE (CASA FORESTAL),38.0,20.9,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
2775X,-6.279668,2026-04-10T12:00:00+0000,0.0,850.0,5.2,1.5,55.0,41.941501,95.0,VILLARDECIERVOS,38.0,19.1,20.7,20.8,920.0,0.8,22.7,,5.9,,50.0,60.0,12.9,,,,,,,,,,,,803.1,,,
2847X,-5.643454,2026-04-10T12:00:00+0000,0.0,865.0,9.9,4.8,157.0,40.675599,175.0,PEDROSILLO DE LOS AIRES-CASTILLEJO,28.0,24.8,25.1,25.1,,,,,,,,,,,,,,,,,,,,,,,,
2867,-5.498292,2026-04-10T12:00:00+0000,0.0,790.0,4.6,0.9,150.0,40.959572,100.0,SALAMANCA/MATACAN,33.0,22.6,25.2,25.3,924.6,0.4,30.1,,7.8,,91.0,60.0,,,,,,,,,,,,,790.2,,,
2870,-5.662271,2026-04-10T12:00:00+0000,0.0,775.0,4.3,1.1,99.0,40.957593,43.0,SALAMANCA OBS.,32.0,23.0,25.3,25.3,926.8,,,,7.4,,,,,,,67.0,,,,,,,,,792.1,,,
2916A,-6.437733,2026-04-10T12:00:00+0000,0.0,769.0,3.9,1.0,46.0,41.011441,28.0,VITIGUDINO,44.0,21.1,22.7,22.7,927.7,0.5,,,9.8,11.4,80.0,60.0,15.5,,,,,,0.0,,,,,,794.4,,,
2918Y,-6.223616,2026-04-10T12:00:00+0000,0.0,1027.0,9.9,4.5,154.0,40.569447,152.0,EL MAILLO (BASE AVIONES - AUTOMATICA),30.0,24.5,25.2,25.2,,,,,,,,,,,,,,,,,,,,,,,,
2946X,-6.600021,2026-04-10T12:00:00+0000,0.0,680.0,3.3,0.9,274.0,40.635023,229.0,SAELICES EL CHICO,36.0,20.8,23.4,23.4,937.2,0.6,28.3,,,18.6,70.0,60.0,18.0,,,,,,0.0,,,,,,,,,
3013,-1.878928,2026-04-10T12:00:00+0000,0.0,1061.72,3.8,1.8,288.0,40.841653,268.0,MOLINA DE ARAGÓN,28.0,23.0,25.2,25.2,897.6,0.6,32.5,,5.5,17.0,31.0,60.0,16.5,,,,,,0.0,,,,,13.3,,1538.2,,
3040X,-2.079306,2026-04-10T12:00:00+0000,0.0,1394.0,8.3,4.3,226.0,40.543152,192.0,BETETA AERÓDROMO,19.0,20.9,22.7,22.8,863.4,1.5,,1011.4,-2.2,,25.0,,,,,,,,,,,,,,,,,
3094B,-3.021667,2026-04-10T12:00:00+0000,0.0,818.96,9.8,5.2,154.0,40.011389,120.0,TARANCON,13.0,25.2,26.8,26.8,923.1,1.7,16.2,,-3.9,14.9,16.0,60.0,16.3,,,,,,0.0,,,,,,802.3,,,
3104Y,-3.888285,2026-04-10T12:00:00+0000,0.0,1159.0,7.2,1.4,132.0,40.889686,125.0,EL PAULAR- RASCAFRÍA (AUTOMÁTICA),21.0,23.2,24.0,24.2,,,,,,,,,,,,,,,,,,,,,,,,
3111D,-3.580467,2026-04-10T12:00:00+0000,0.0,1450.0,0.2,0.0,191.0,41.135686,203.0,SOMOSIERRA,24.0,18.5,19.3,19.8,857.6,,,,-1.7,,,,,,,0.0,,,,,,,,,,1526.3,,
3121F,-3.624662,2026-04-10T12:00:00+0000,0.0,918.2,5.6,2.6,180.0,40.801582,176.0,VENTURADA,18.0,24.0,25.2,25.3,913.2,0.7,,1013.1,-0.7,,24.0,,,,,,,,,,,,,,,,,
3125Y,-3.616667,2026-04-10T12:00:00+0000,0.0,672.0,,,,40.55,,SAN SEBASTIAN DE LOS REYES,23.0,25.3,26.1,26.1,,,,,,,,,,,,,,,,,,,,,,,,
3129,-3.555593,2026-04-10T12:00:00+0000,0.0,609.0,5.1,1.7,120.0,40.466559,190.0,MADRID/BARAJAS,25.0,24.6,25.8,26.0,948.9,0.5,36.0,1013.5,4.3,17.9,40.0,60.0,,,,,,,,,,,,,,,,
3129A,-3.579722,2026-04-10T12:00:00+0000,0.0,631.0,4.6,1.7,152.0,40.465278,99.0,MADRID BARAJAS RS.,21.0,23.7,26.3,26.4,943.6,0.8,,1013.3,2.3,,32.0,,,,,,,,,,,,,,,,,
3130C,-2.617927,2026-04-10T12:00:00+0000,0.0,1005.0,7.0,3.6,202.0,41.086277,213.0,SIGÜENZA,17.0,23.8,24.5,24.8,904.7,1.2,42.6,,-2.2,20.0,16.0,60.0,26.2,,,,,,0.0,,,,,,,1546.3,,
3140Y,-2.75988,2026-04-10T12:00:00+0000,0.0,990.0,,,,40.985075,,MANDAYONA,25.0,23.4,24.8,24.8,,,,,,,,,,,,,,,,,,,,,,,,
3158D,-3.142474,2026-04-10T12:00:00+0000,0.0,1368.0,12.0,6.8,198.0,41.274167,193.0,EVC_CAMPISABALOS,22.0,19.7,21.1,21.1,865.7,1.2,,,-1.4,,14.0,,,,,,,,,,,,,,,1525.8,,
3168D,-3.150278,2026-04-10T12:00:00+0000,0.0,727.44,6.8,3.6,200.0,40.630282,215.0,GUADALAJARA,17.0,24.8,26.8,26.9,933.0,1.1,32.4,1013.1,-0.3,20.0,29.0,60.0,17.0,,,,,,0.0,,,,,15.7,,,,
3170Y,-3.289711,2026-04-10T12:00:00+0000,0.0,605.0,6.8,3.7,166.0,40.52836,162.0,ALCALA DE HENARES-ENCÍN,25.0,24.9,27.6,27.6,,,,,,,,,,,,,,,,,,,,,,,,
3194U,-3.724167,2026-04-10T12:00:00+0000,0.0,664.0,4.9,1.2,117.0,40.451671,91.0,MADRID  C. UNIVERSITARIA,21.0,24.9,26.2,26.3,,,,,2.1,,,,,,,46.0,,,,,,,,,,,,
3194Y,-3.813369,2026-04-10T12:00:00+0000,0.0,665.0,,,,40.448438,,POZUELO DE ALARCON (AUTOMÁTICA),23.0,25.3,26.3,26.4,,,,,,,,,,,,,,,,,,,,,,,,
3195,-3.678095,2026-04-10T12:00:00+0000,0.0,667.0,6.3,1.8,145.0,40.411806,109.0,MADRID RETIRO,22.0,23.9,25.5,25.5,938.9,,,1012.6,2.3,,,,,,,81.0,,,,,,,,,,,,
3260B,-4.045278,2026-04-10T12:00:00+0000,0.0,512.69,7.1,4.0,124.0,39.884722,108.0,TOLEDO,24.0,24.5,26.6,26.6,955.6,0.8,26.8,1012.7,4.3,20.0,15.0,45.099999999999994,21.3,,,,,,0.0,,,,,15.4,,,,
3266A,-4.141883,2026-04-10T12:00:00+0000,0.0,1532.0,10.1,5.0,117.0,40.706342,115.0,ALTO DE LOS LEONES,29.0,16.8,18.1,18.6,850.2,,,,-0.3,,,,,,,189.0,,,,,,,,,,1534.0,,
3268C,-4.017505,2026-04-10T12:00:00+0000,0.0,924.0,6.4,2.5,144.0,40.659724,112.0,ALPEDRETE,22.0,24.2,24.9,25.1,,,,,,,,,,,,,,,,,,,,,,,,
3337U,-4.455763,2026-04-10T12:00:00+0000,0.0,850.0,5.9,1.7,131.0,40.467501,142.0,CEBREROS,30.0,23.5,23.6,24.7,,,,,,,,,,,,,,,,,,,,,,,,
3365A,-4.863596,2026-04-10T12:00:00+0000,0.0,372.0,7.8,3.7,99.0,39.958608,99.0,TALAVERA DE LA REINA,34.0,22.9,23.8,23.8,972.3,1.2,17.4,1014.5,7.0,20.0,14.0,3.0,14.9,,,,,,0.0,,,,,,,,,
3386A,-5.391666,2026-04-10T12:00:00+0000,0.0,923.0,6.6,2.6,91.0,39.591662,80.0,NAVALVILLAR DE IBOR,31.0,22.4,22.5,22.7,,,,,,,,,,,,,,,,,,,,,,,,
3391,-4.590932,2026-04-10T12:00:00+0000,0.0,630.0,6.1,2.8,38.0,40.288564,52.0,SOTILLO DE LA ADRADA,14.0,25.6,26.1,27.3,,,,,-3.6,,,,,,,113.0,,,,,,,,,,,,
3423I,-5.373329,2026-04-10T12:00:00+0000,0.0,464.0,5.2,0.7,12.0,40.153888,150.0,MADRIGAL DE LA VERA,32.0,24.5,24.9,25.0,,,,,,,,,,,,,,,,,,,,,,,,
3427Y,-5.114443,2026-04-10T12:00:00+0000,0.0,345.0,,,,39.993338,,OROPESA DEHESÓN DEL  ENCINAR,37.0,23.6,24.8,24.8,,,,,,,,,,,,,,,,,,,,,,,,
3434X,-5.582629,2026-04-10T12:00:00+0000,0.0,269.0,8.0,3.4,92.0,39.945759,109.0,NAVALMORAL DE LA MATA,39.0,23.2,24.5,24.8,983.0,0.9,29.5,1013.6,9.7,20.0,17.0,28.0,17.5,,,,,,0.0,,,,,,,,,
3448X,-6.127483,2026-04-10T12:00:00+0000,0.0,406.0,14.0,7.8,62.0,39.820718,62.0,SERRADILLA (AUTOMATICA),35.0,22.8,24.5,24.5,,,,,,,,,,,,,,,,,,,,,,,,
3455X,-5.808349,2026-04-10T12:00:00+0000,0.0,559.0,9.9,6.2,56.0,39.669948,47.0,JARAICEJO,41.0,22.6,22.9,23.6,,,,,,,,,,,,,,,,,,,,,,,,
3463Y,-5.874167,2026-04-10T12:00:00+0000,0.0,523.0,6.9,2.9,145.0,39.464167,130.0,TRUJILLO,22.0,25.5,26.2,26.5,,,,,2.9,,,,,,,112.0,,,,,,,,,,,,
3469A,-6.338889,2026-04-10T12:00:00+0000,0.0,393.98,6.9,4.1,108.0,39.471389,108.0,CÁCERES,31.0,25.0,26.5,26.5,968.5,1.2,31.9,1012.3,8.0,20.0,16.0,60.0,17.7,,,,,,0.0,,,,,16.9,,,,
3475X,-6.376392,2026-04-10T12:00:00+0000,0.0,373.0,11.3,6.3,103.0,39.790559,95.0,CAÑAVERAL,30.0,25.2,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,
3494U,-6.239733,2026-04-10T12:00:00+0000,0.0,470.0,6.8,2.3,130.0,40.40809,82.0,NUÑOMORAL,27.0,27.9,28.4,28.5,,,,,,,,,,,,,,,,,,,,,,,,
3503,-6.1675,2026-04-10T12:00:00+0000,,393.0,4.3,0.9,310.0,40.189444,295.0,GUIJO DE GRANADILLA,32.0,26.5,28.2,28.2,,,,,,,,,,,,,,,,,,,,,,,,
3504X,-5.861212,2026-04-10T12:00:00+0000,0.0,724.0,10.0,4.3,131.0,40.265086,150.0,HERVAS,24.0,24.6,25.1,25.3,,,,,,,,,,,,,,,,,,,,,,,,
3512X,-6.338888,2026-04-10T12:00:00+0000,0.0,351.0,9.1,5.1,33.0,40.08083,25.0,MONTEHERMOSO,38.0,25.6,26.6,26.6,,,,,,,,,,,,,,,,,,,,,,,,
3514B,-5.678336,2026-04-10T12:00:00+0000,0.0,991.0,8.0,2.9,184.0,40.258612,87.0,TORNAVACAS,28.0,22.8,22.8,24.3,,,,,,,,,,,,,,,,,,,,,,,,
3516X,-5.832386,2026-04-10T12:00:00+0000,0.0,1260.0,11.0,5.0,91.0,40.120781,85.0,PIORNAL (AUTOMATICA),37.0,19.1,20.2,20.2,,,,,,,,,,,,,,,,,,,,,,,,
3519X,-6.085781,2026-04-10T12:00:00+0000,0.0,415.0,10.8,3.3,120.0,40.043053,108.0,PLASENCIA,34.0,24.7,25.5,25.8,,,,,8.5,,,,,,,122.0,,,,,,,,,,,,
3526X,-6.557527,2026-04-10T12:00:00+0000,0.0,313.0,9.4,6.2,101.0,40.003539,94.0,CORIA,31.0,25.2,26.3,26.6,977.7,1.1,25.6,1013.0,7.8,20.0,8.0,60.0,16.4,,,,,,0.0,,,,,,,,,
3531X,-6.411707,2026-04-10T12:00:00+0000,0.0,459.0,4.1,2.3,167.0,40.254924,180.0,TORRECILLA DE LOS ANGELES,33.0,27.1,28.4,28.4,,,,,,,,,,,,,,,,,,,,,,,,
3536X,-6.724444,2026-04-10T12:00:00+0000,0.0,560.0,4.8,2.0,115.0,40.174832,125.0,HOYOS,35.0,24.8,25.7,25.7,,,,,,,,,,,,,,,,,,,,,,,,
3540X,-6.860004,2026-04-10T12:00:00+0000,0.0,336.0,10.7,3.4,87.0,39.871388,70.0,ZARZA LA MAYOR,20.0,26.2,27.2,27.2,,,,,,,,,,,,,,,,,,,,,,,,
3547X,-6.896107,2026-04-10T12:00:00+0000,0.0,450.0,8.1,4.4,144.0,40.207224,145.0,VALVERDE DE FRESNO,30.0,25.7,26.4,26.4,,,,,,,,,,,,,,,,,,,,,,,,
3562X,-6.736389,2026-04-10T12:00:00+0000,0.0,321.0,5.9,3.6,95.0,39.4275,100.0,ALISEDA  LA UMBRÍA,33.0,25.1,26.1,26.1,,,,,,,,,,,,,,,,,,,,,,,,
3565X,-6.744998,2026-04-10T12:00:00+0000,0.0,425.0,9.4,3.9,119.0,39.61806,92.0,BROZAS (AUTOMATICA),32.0,25.5,26.4,26.4,,,,,,,,,,,,,,,,,,,,,,,,
3576X,-7.231135,2026-04-10T12:00:00+0000,0.0,444.0,7.5,2.3,92.0,39.414861,96.0,VALENCIA DE ALCÁNTARA,30.0,24.1,25.2,25.2,962.5,1.0,29.3,1012.3,6.4,20.0,24.0,60.0,14.7,,,,,,0.0,,,,,,,,,
4007Y,-2.745006,2026-04-10T12:00:00+0000,0.0,905.0,12.2,5.5,202.0,38.965833,207.0,OSSA DE MONTIEL,22.0,22.8,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
4051Y,-2.80695,2026-04-10T12:00:00+0000,0.0,875.0,11.1,6.3,144.0,40.061113,115.0,ALCÁZAR DEL REY,22.0,24.6,25.8,25.8,,,,,,,,,,,,,,,,,,,,,,,,
4067,-3.528358,2026-04-10T12:00:00+0000,0.0,690.0,10.8,5.9,113.0,39.492064,114.0,MADRIDEJOS,18.0,24.3,25.4,25.7,936.1,1.7,27.1,1012.2,-0.7,20.0,15.0,60.0,15.1,,,,,,0.0,,,,,,,,,
4090Y,-2.420691,2026-04-10T12:00:00+0000,0.0,728.0,9.4,4.4,139.0,39.416736,138.0,SAN CLEMENTE,24.0,23.0,23.5,23.6,933.5,1.3,24.2,1014.2,1.7,16.5,17.0,4.0,15.5,,,,,,0.0,,,,,,,,,
4096Y,-2.488886,2026-04-10T12:00:00+0000,0.0,918.0,6.8,2.9,135.0,39.016663,125.0,MUNERA  SAN BARTOLOMÉ (AUTOMÁTICA),25.0,21.9,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,
4103X,-3.00749,2026-04-10T12:00:00+0000,0.0,662.0,9.8,5.8,141.0,39.169045,105.0,TOMELLOSO,18.0,25.1,25.1,26.4,940.1,1.2,26.2,1013.4,-1.0,11.6,11.0,23.0,16.4,,,,,,0.0,,,,,,,,,
4121,-3.920278,2026-04-10T12:00:00+0000,0.0,626.17,6.4,2.6,70.0,38.989167,80.0,CIUDAD REAL,33.0,22.5,24.8,24.8,942.8,1.1,28.0,1012.4,7.4,19.5,35.0,19.9,15.2,,,,,,0.0,,,,,15.3,,,,
4138Y,-3.004441,2026-04-10T12:00:00+0000,0.0,900.0,7.8,3.0,146.0,38.737497,140.0,VILLANUEVA DE LOS INFANTES,28.0,24.8,26.2,26.2,,,,,,,,,,,,,,,,,,,,,,,,
4147X,-3.391368,2026-04-10T12:00:00+0000,0.0,700.0,7.4,2.3,89.0,38.750423,54.0,VALDEPEÑAS,14.0,27.1,28.4,28.6,934.4,1.1,24.9,1010.7,-1.7,14.3,30.0,60.0,17.2,,,,,,0.0,,,,,,,,,
4148,-3.566725,2026-04-10T12:00:00+0000,0.0,804.0,7.5,4.0,123.0,38.518051,129.0,VISO DEL MARQUÉS,23.0,24.8,26.8,26.8,923.3,1.0,,,3.9,,17.0,,,,,,,,,,,,,,787.8,,,
4195E,-4.394988,2026-04-10T12:00:00+0000,0.0,651.0,6.4,3.9,153.0,39.32091,155.0,ALCORNOQUERA  PARQUE NACIONAL CABAÑEROS,39.0,23.5,23.7,25.1,940.4,1.0,,1012.7,8.9,,12.0,,,,,,,,,,,,,,,,,
4220X,-4.622035,2026-04-10T12:00:00+0000,0.0,531.48,6.0,3.3,144.0,39.083623,138.0,PUEBLA DE DON RODRIGO,36.0,23.2,23.7,24.3,953.2,0.8,,1012.8,7.7,,17.0,,,,,,,,,,,,,,,,,
4236Y,-5.026459,2026-04-10T12:00:00+0000,0.0,689.04,9.5,3.2,134.0,39.450439,90.0,PUERTO DEL REY,32.0,23.9,24.3,24.7,,,,,,,,,,,,,,,,,,,,,,,,
4244X,-5.062271,2026-04-10T12:00:00+0000,0.0,447.0,5.6,2.6,84.0,39.169355,83.0,HERRERA DEL DUQUE,34.0,22.0,24.1,24.6,962.5,0.8,23.8,1012.8,7.3,20.0,12.0,28.0,15.3,,,,,,0.0,,,,,,,,,
4245X,-5.333333,2026-04-10T12:00:00+0000,0.0,660.0,3.0,1.3,141.0,39.455271,145.0,GUADALUPE (AUTOMATICA),35.0,23.3,24.4,24.4,,,,,,,,,,,,,,,,,,,,,,,,
4260,-5.577502,2026-04-10T12:00:00+0000,0.0,542.0,14.1,7.2,133.0,38.479719,125.0,PERALEDA DEL ZAUCEJO,34.0,25.7,26.7,26.7,,,,,,,,,,,,,,,,,,,,,,,,
4325Y,-5.529083,2026-04-10T12:00:00+0000,0.0,459.0,11.8,5.9,148.0,38.741813,140.0,CASTUERA,33.0,26.4,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
4339X,-5.369009,2026-04-10T12:00:00+0000,0.0,590.0,7.3,2.8,76.0,39.314167,62.0,CAÑAMERO  EL PINAR,38.0,22.3,23.4,23.9,,,,,,,,,,,,,,,,,,,,,,,,
4340,-5.461334,2026-04-10T12:00:00+0000,0.0,313.0,6.2,3.3,130.0,39.103459,107.0,NAVALVILLAR DE PELA,39.0,24.1,24.5,25.2,,,,,,,,,,,,,,,,,,,,,,,,
4347X,-5.710276,2026-04-10T12:00:00+0000,0.0,413.0,10.1,5.5,87.0,39.282781,67.0,ZORITA,36.0,24.4,24.4,25.4,,,,,,,,,,,,,,,,,,,,,,,,
4358X,-5.880481,2026-04-10T12:00:00+0000,0.0,273.0,4.4,1.0,51.0,38.95559,64.0,DON BENITO,31.0,25.4,27.6,27.8,981.0,0.6,26.2,1011.7,8.9,20.0,49.0,60.0,18.1,,,,,,0.0,,,,,,,,,
4362X,-5.845813,2026-04-10T12:00:00+0000,0.0,474.1,11.7,6.0,147.0,38.576493,132.0,RETAMAL DE LLERENA ,34.0,24.6,26.1,26.1,,,,,,,,,,,,,,,,,,,,,,,,
4386B,-6.017048,2026-04-10T12:00:00+0000,0.0,655.0,15.4,6.7,120.0,38.231708,132.0,LLERENA,43.0,21.7,22.5,23.3,938.3,1.3,18.2,1011.2,9.3,20.0,9.0,34.0,23.0,,,,,,0.0,,,,,,,,,
4395X,-6.306664,2026-04-10T12:00:00+0000,0.0,430.0,8.3,4.8,100.0,38.551667,122.0,VILLAFRANCA DE LOS BARROS,37.0,24.3,25.9,25.9,,,,,,,,,,,,,,,,,,,,,,,,
4410X,-6.385632,2026-04-10T12:00:00+0000,0.0,228.0,5.0,1.4,359.0,38.915884,55.0,MÉRIDA,33.0,24.9,27.1,27.2,986.6,0.5,,1012.3,9.4,,30.0,,,,,,,,,,,,,,,,,
4411C,-6.231012,2026-04-10T12:00:00+0000,0.0,467.0,8.1,3.6,122.0,39.197636,130.0,ALCUESCAR,24.0,25.2,26.3,26.3,,,,,,,,,,,,,,,,,,,,,,,,
4427X,-6.436641,2026-04-10T12:00:00+0000,0.0,433.0,6.1,2.3,158.0,38.425855,172.0,ZAFRA (AUTOMATICA),39.0,23.6,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
4436Y,-6.361046,2026-04-10T12:00:00+0000,0.0,371.0,5.8,3.2,103.0,38.688902,65.0,ALMENDRALEJO,37.0,22.9,24.3,24.3,,,,,,,,,,,,,,,,,,,,,,,,
4442X,-6.6275,2026-04-10T12:00:00+0000,0.0,345.0,4.8,1.6,45.0,38.618611,40.0,SANTA MARTA DE LOS BARROS,41.0,23.1,24.7,24.7,,,,,,,,,,,,,,,,,,,,,,,,
4452,-6.81389,2026-04-10T12:00:00+0000,0.0,185.5,7.0,3.0,84.0,38.883396,88.0,BADAJOZ/TALAVERA LA REAL,32.0,25.5,26.7,26.8,991.3,1.3,30.4,1012.4,8.7,,24.0,60.0,23.2,,,,,,0.0,,,,,18.2,,,,
4464X,-6.995182,2026-04-10T12:00:00+0000,0.0,283.0,6.1,2.3,162.0,39.181934,127.0,ALBURQUERQUE,39.0,25.8,26.6,26.6,,,,,,,,,,,,,,,,,,,,,,,,
4468X,-6.600769,2026-04-10T12:00:00+0000,0.0,392.0,6.1,2.7,126.0,39.176623,117.0,PUEBLA DE OBANDO (AUTOMATICA),36.0,24.3,25.3,25.3,,,,,,,,,,,,,,,,,,,,,,,,
4478X,-7.00948,2026-04-10T12:00:00+0000,0.0,173.7,6.0,2.4,95.0,38.886205,85.0,BADAJOZ UNIVERSIDAD,37.0,25.0,27.1,27.1,,,,,,,,,,,,,,,,,,,,,,,,
4486X,-7.084439,2026-04-10T12:00:00+0000,0.0,275.0,6.9,5.0,47.0,38.697503,57.0,OLIVENZA,47.0,23.1,24.3,24.3,,,,,,,,,,,,,,,,,,,,,,,,
4489X,-7.28194,2026-04-10T12:00:00+0000,0.0,170.0,3.8,2.4,272.0,38.484719,277.0,ALCONCHEL (AUTOMATICA),63.0,20.8,22.7,22.7,,,,,,,,,,,,,,,,,,,,,,,,
4492F,-6.923333,2026-04-10T12:00:00+0000,0.0,377.0,4.8,2.0,87.0,38.472778,90.0,EVC_BARCARROTA,34.0,24.0,25.4,25.4,969.9,,,,,,,,,,,,,,,,,,,,,,,
4497X,-7.158056,2026-04-10T12:00:00+0000,0.0,247.0,3.7,1.9,49.0,38.372219,60.0,VILLANUEVA DEL FRESNO,47.0,22.7,23.8,23.8,,,,,,,,,,,,,,,,,,,,,,,,
4499X,-6.271862,2026-04-10T12:00:00+0000,0.0,771.0,10.4,5.6,125.0,38.081296,145.0,MONESTERIO (AUTOMATICA),51.0,21.1,21.4,22.0,,,,,,,,,,,,,,,,,,,,,,,,
4501X,-6.311317,2026-04-10T12:00:00+0000,0.0,602.0,10.9,6.6,108.0,38.20874,127.0,FUENTE DE CANTOS,47.0,21.8,23.1,23.1,,,,,,,,,,,,,,,,,,,,,,,,
4511C,-6.765058,2026-04-10T12:00:00+0000,0.0,381.0,4.6,2.1,69.0,38.298514,80.0,JEREZ DE LOS CABALLEROS,54.0,20.7,22.5,22.5,968.7,0.9,31.1,1011.9,12.7,20.0,20.0,60.0,17.2,,,,,,0.0,,,,,,,,,
4520X,-6.661793,2026-04-10T12:00:00+0000,0.0,586.0,3.8,1.6,114.0,38.178438,157.0,FREGENAL DE LA SIERRA,56.0,21.7,22.8,23.0,,,,,,,,,,,,,,,,,,,,,,,,
4549Y,-7.394971,2026-04-10T12:00:00+0000,0.0,2.63,4.8,2.6,194.0,37.194607,204.0,AYAMONTE  ISLA CANELA,61.0,20.7,21.0,21.6,1012.8,,,1013.3,13.2,,,,,,,96.0,,,,,,,,,,,,
4560Y,-6.674999,2026-04-10T12:00:00+0000,0.0,572.0,8.5,3.4,161.0,37.868615,165.0,ALAJAR  CABEZO MOLINOS,43.0,22.2,22.9,23.2,946.9,1.3,23.7,,,,21.0,59.0,16.3,,,,,,,,,,,,,,,
4575X,-6.767767,2026-04-10T12:00:00+0000,0.0,280.4,,,,37.575348,,VALVERDE CAMINO (CH.GUADIANA AUTOMATICA),50.0,22.3,24.3,24.3,,,,,,,,,,,,,,,,,,,,,,,,
4589X,-7.11944,2026-04-10T12:00:00+0000,0.0,276.0,4.5,2.3,40.0,37.597782,82.0,ALOSNO  THARSIS-MINAS ,53.0,20.9,22.8,22.8,,,,,,,,,,,,,,,,,,,,,,,,
4608X,-6.630003,2026-04-10T12:00:00+0000,0.0,415.0,7.2,3.4,114.0,37.677226,132.0,EL CAMPILLO  EL ZUMAJO ,44.0,22.3,23.1,23.1,,,,,,,,,,,,,,,,,,,,,,,,
4642E,-6.911696,2026-04-10T12:00:00+0000,14.0,17.59,4.3,1.5,65.0,37.278412,45.0,HUELVA  RONDA ESTE,56.0,21.3,22.9,22.9,1010.4,0.5,30.7,,,,35.0,60.0,22.7,,,,,,0.0,,,,,18.9,,,,
5000C,-5.346967,2026-04-10T12:00:00+0000,0.0,87.0,5.8,2.8,11.0,35.888727,353.0,CEUTA,74.0,17.8,18.1,18.7,1001.9,0.8,21.4,1012.3,13.4,10.2,23.0,38.800000000000004,19.7,,,,,,0.0,,,,,17.9,,,,
5038Y,-3.003891,2026-04-10T12:00:00+0000,0.0,799.0,,,,37.915837,,CAZORLA (AUTOMATICA),21.0,25.4,27.6,27.6,,,,,,,,,,,,,,,,,,,,,,,,
5047E,-2.734995,2026-04-10T12:00:00+0000,0.0,785.0,13.1,6.5,93.0,37.505829,111.0,BAZA  CRUZ ROJA,23.0,24.8,26.3,26.3,926.2,1.5,21.8,,3.6,12.0,12.0,60.0,13.2,,,,,,0.0,,,,,,796.4,,,
5051X,-2.652778,2026-04-10T12:00:00+0000,0.0,1100.5,10.4,5.2,89.0,37.861389,87.0,HUÉSCAR,19.0,22.7,23.7,23.7,893.3,1.6,17.7,,,20.0,16.0,60.0,29.1,,,,,,0.0,,,,,,,,,
