idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
1074C,-2.706153,2026-04-10T00:00:00+0000,0.0,100.0,1.0,0.0,198.0,43.202893,152.0,AMOREBIETA-ETXANO,90.0,12.3,12.6,12.6,,,,,,,,,,,,,,,,,,,,,,,,
1078C,-3.209649,2026-04-10T00:00:00+0000,0.0,210.0,,,,43.180575,,BALMASEDA,90.0,10.3,10.3,10.8,,,,,,,,,,,,,,,,,,,,,,,,
1078I,-3.104777,2026-04-10T00:00:00+0000,0.0,208.0,2.0,0.1,343.0,43.203384,97.0,GÜEÑES,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,
1082,-2.906304,2026-04-10T00:00:00+0000,0.0,42.0,3.1,1.1,310.0,43.297952,310.0,BILBAO AEROPUERTO,87.0,13.5,13.6,13.6,1019.2,0.6,15.4,1023.9,11.4,,24.0,0.0,,,,,,,,,,,,,,,,
1083B,-3.168615,2026-04-10T00:00:00+0000,0.0,177.0,1.0,0.0,183.0,43.279722,252.0,SOPUERTA,98.0,10.1,10.1,10.4,,,,,,,,,,,,,,,,,,,,,,,,
1083L,-3.233884,2026-04-10T00:00:00+0000,0.0,45.0,,,0.0,43.39473,244.0,CASTRO URDIALES-EDAR,89.0,12.1,12.3,13.1,,,,,10.5,,,,,,,0.0,,,,,,,,,,,,
1089U,-3.47083,2026-04-10T00:00:00+0000,0.0,80.0,1.0,0.1,286.0,43.255834,255.0,RAMALES DE LA VICTORIA-ETAP,95.0,10.0,10.0,10.2,,,,,,,,,,,,,,,,,,,,,,,,
1096X,-3.469721,2026-04-10T00:00:00+0000,0.0,10.0,1.8,1.1,245.0,43.39667,250.0,TRETO,96.0,11.4,11.5,11.9,,,,,,,,,,,,,,,,,,,,,,,,
1103X,-3.721084,2026-04-10T00:00:00+0000,0.0,849.0,4.7,0.6,14.0,43.227556,355.0,SAN ROQUE DE RIOMERA-CARACOL,85.0,9.5,9.5,10.6,,,,,,,,,,,,,,,,,,,,,,,,
1109X,-3.831385,2026-04-10T00:00:00+0000,0.0,3.0,3.1,1.5,270.0,43.428613,280.0,SANTANDER AEROPUERTO,92.0,12.7,12.7,13.3,1023.8,0.1,13.6,1024.6,11.4,,5.0,0.0,,,,,,,,,,,,,,,,
